Model,MAE,RMSE,R² Score
Random Forest (Tuned),6557682.043738087,25427161.557315063,0.1269671828161314
Random Forest,6479271.322752861,25470286.231717873,0.1240033299596145
Gradient Boosting,6583548.665522743,25499009.915454596,0.12202643507893984
XGBoost,6559374.440707053,25627079.6766725,0.11318497519550053
LightGBM,6545270.516186678,25693692.374791775,0.10856877101191043
CatBoost,6680907.057441334,25937178.95830713,0.09159339923707543
Linear Regression,6842596.42449764,25994745.58480761,0.08755657350591717
